Fecha,Proyecto,Módulo,Tarea,Duración (horas),Estado,Prioridad,Complejidad,Descripción,Notas
2026-06-03,BeeTracked,Documentación,README gitignore sync-cognito push GitHub,1,Completado,Media,Baja,Documentación destinatarios email; CSV usuarios fuera del repo; grupos Admin en script.,Commit e728d7d
2026-06-02,BeeTracked,Backend + Frontend,Fix Carreras bikers — pestañas drivers vs bikers por encabezados,1.5,Completado,Alta,Media,listCarreraTabsByKind googleSheets; rutas /carreras/bikers y drivers; DynamoDB tipo biker.,Commit 1fc8883
2026-06-02,BeeTracked,Frontend,Reset tutorial onboarding (clave v2 post-demo),0.25,Completado,Media,Baja,tutorial_done_v2 en storage.ts; todos vuelven a ver modal tras demo.,Commit 7a34bef
2026-06-04,BeeTracked,Documentación / UI,HTML Panel Bee Zero (guía de uso),0.5,Completado,Media,Baja,Panel HTML estático para conductores Bee Zero.,Entrega operaciones
2026-06-04,BeeTracked,Documentación / UI,HTML Panel Ecodelivery + fix bug copiar,0.5,Completado,Media,Baja,Panel HTML bikers; corrección copiar al portapapeles.,Entrega operaciones
2026-06-04,BeeTracked,AWS / Cognito,Corrección rol Cristian Herbas (Cognito),0.25,Completado,Alta,Baja,Grupo y userType operador/beezero en User Pool; sync script.,028504e / ops
2026-06-04,BeeTracked,Backend + AWS,Cierre masivo turnos DynamoDB (estado activo),0.25,Completado,Alta,Baja,Script/consulta para cerrar turnos huérfanos en bee-tracked-turnos-prod.,Ops prod
2026-06-04,BeeTracked,Frontend,Reset tutorial onboarding (clave v2 → v3),0.25,Completado,Media,Baja,storage.ts tutorial_done_v3; segunda reinicialización post-cambios operador.,Sin commit aún
2026-06-04,BeeTracked,Frontend + Backend,Dashboard Operador (panel turnos + tiempo real),2,Completado,Alta,Media,DashboardOperador.tsx rutas /operador; tipo operador en ecodelivery.js; live admin operadores.,WIP sin commit
2026-06-04,BeeTracked,Frontend,Fix routing operadores (Login + Guards App.tsx),0.5,Completado,Alta,Baja,OperadorGuard; operador ya no cae en /ecodelivery; dashboardPath en Login.,Commit pendiente
2026-06-04,BeeTracked,DevOps,Deploys frontend (S3 + CloudFront) y backend (Lambda),0.75,Completado,Alta,Media,Build Vite subida bucket; invalidación CF; serverless deploy API.,Prod
2026-06-03,BeeTracked,—,TOTAL Sprint 8 + correcciones post-deploy (1–3 jun),25.5,Completado,—,—,Sumatoria filas 2026-06-01 a 2026-06-03 (sin fila TOTAL).,Corregido vs 22.5 anterior
2026-06-04,BeeTracked,Documentación / UI,HTML Panel Operadores + Admins (sección nueva),0.5,Completado,Media,Baja,"Pestaña Operadores (5 usuarios) y Admins (4 usuarios) con mensajes propios; foto obligatoria para admins; fix isEco → TAB_EMOJI.",beetracked-envio-accesos.html
2026-06-04,BeeTracked,QA / Operaciones,Pruebas del sistema — envío de accesos y turnos,2,Completado,Alta,Media,"Verificación de acceso por rol (bee zero, ecodelivery, operador, admin); pruebas de inicio y cierre de turno; detección y corrección de errores CORS (Lambda sin node_modules) y 401 por sesión expirada.",Prod — post-deploy
2026-06-04,BeeTracked,Frontend,Loading overlay animado en iniciar/cerrar turno (todos los roles),0.5,Completado,Media,Baja,"🐝 + mensaje contextual + 3 puntos bouncing en IniciarTurnoBiker, CerrarTurnoBiker, IniciarTurno BeeZero y CerrarTurno BeeZero. Formulario oculto durante la carga para evitar doble tap.",Commits 6445c8f 6332040
2026-06-04,BeeTracked,Investigación,Diagnóstico bug turno activo falso (stale localStorage),0.75,Completado,Alta,Media,"Análisis de DynamoDB (0 turnos activos para usuarios afectados), Google Sheets (0 INICIADOS), y flujo de localStorage en los 3 dashboards. Identificados 3 bugs: getNextTurnoId hoja incorrecta; dashboards sin sync desde backend; cerrar sin id saltaba el API.",Previo a los fixes
2026-06-04,BeeTracked,Frontend + Backend,"Fix sincronización turno activo: IDs por rol, endpoint DynamoDB y fallback nombre",1.5,Completado,Alta,Alta,"Fix 1: getNextTurnoId(tipo) lee SHEET_OPERADORES para operadores → evita colisión IDs. Fix 2: GET /api/ecodelivery/turnos/activo desde DynamoDB; DashboardBiker y DashboardOperador sincronizan al montar (removeItem si backend null). Fix 3: cerrarTurno envía nombre como fallback; backend busca por nombre si no encuentra turnoId. getTurnoActivo() en ecodeliveryApi.ts.",Commit d57a6eb
2026-06-04,BeeTracked,Frontend,"Fix stale localStorage BeeZero: Dashboard y CerrarTurno limpian al recibir null del backend",0.75,Completado,Alta,Media,"DashboardBeezero: removeItem('turno_actual') + return inmediato cuando turnosApi devuelve null. CerrarTurno BeeZero: redirige a dashboard si backend no tiene turno activo. CerrarTurnoBiker: consulta DynamoDB al montar antes de leer localStorage.",Commits 562dbe7 a3b692e
2026-06-04,BeeTracked,Documentación,CLAUDE.md — guía arquitectónica para Claude Code,0.5,Completado,Media,Baja,"Comandos build/deploy; arquitectura dual-write; roles y routing; tablas DynamoDB; sheets IDs; bugs activos; pipeline CI/CD; recursos AWS.",Commit d57a6eb
2026-06-04,BeeTracked,Frontend,Reset tutorial bienvenida v3 → v4,0.1,Completado,Baja,Baja,storage.ts tutorial_done_v4_*; todos los usuarios ven el tutorial al entrar (incluyendo primeros accesos reales del período de prueba).,Commit c2f8cc7
2026-06-05,BeeTracked,AWS / Cognito,Alta de nuevos usuarios Ecodelivery (Leo525 + DiegoZegarra34 + JoseDiego48),0.25,Completado,Alta,Baja,"Leonardo Alarcon Lazarte (Leo525 / 70731525); Diego Julián Zegarra (DiegoZegarra34 / 75474934); José Diego (JoseDiego48 / 69187448). Contraseña permanente + grupo ecodelivery en Cognito us-east-1_REsVOVqcY.",Cognito prod
2026-06-05,BeeTracked,QA / Operaciones,Verificación acceso usuarios + corrección username William,0.25,Completado,Media,Baja,"Cognito guarda ñ→n: WilliamMontaño47 → williammontano47. Verificación Brenda Sainz (brenda259 activa). Cierre manual turno carli code operadora (DynamoDB TURNO#121 activo de pruebas).",Ops prod
2026-06-06,BeeTracked,Frontend + Backend,Módulo operador diferenciado — tema gris/slate + fix tiempo real,1.0,Completado,Alta,Media,"tailwind.config.js: colores operador-slate (#64748B). themes.ts: tema slate + displayName Operadores. Layout.tsx: header slate + subText Operadores. App.tsx: ThemeProvider userType=operador en rutas /operador/*. sessionAuth.js: requireAdminOrOperador. admin.js: router.use separado (sessionAuth global; requireAdmin vs requireAdminOrOperador según ruta) → /dashboard/live accesible para operadores.",Commits a5aff57 4cb519b
2026-06-06,BeeTracked,Backend,Fix calcularTiempoTranscurrido para operadores en tiempo real,0.1,Completado,Alta,Baja,"Operadores mostraban '—' en columna Tiempo porque se llamaba calcularTiempoTranscurrido(horaInicio) en vez de (fecha, horaInicio). Fix de una línea.",Commit 01c3dd3
2026-06-06,BeeTracked,Frontend,Apertura Caja (Bs) en dashboard tiempo real BeeZero,0.5,Completado,Media,Baja,"mapActiveTurno incluye aperturaKey ('Apertura Caja (Bs)'); LiveTurnoActivo agrega aperturaCaja?; ActiveTable recibe showApertura prop; columna visible solo en BeeZero.",Commits 0e2b008 6c3912a
2026-06-06,BeeTracked,Frontend,Eliminar card 'Carreras hoy' del tiempo real,0.1,Completado,Baja,Baja,Card eliminado de DashboardLive.tsx. Dato no estaba implementado aún (siempre mostraba 0).,Commit ac11575
2026-06-06,BeeTracked,Frontend,Mensaje de error detallado cuando ubicación está bloqueada,0.25,Completado,Media,Baja,"IniciarTurnoBiker e IniciarTurno BeeZero: error.code===1 → instrucciones paso a paso para habilitar ubicación en el navegador. Diferencia entre permiso bloqueado vs GPS apagado.",Commit 00a0dc3
2026-06-06,BeeTracked,Operaciones,Altas de placas 7276 DTS y 7276 DUX en constants.ts,0.1,Completado,Baja,Baja,PLACAS_AUTO_ABEJITA en frontend/src/config/constants.ts. Un solo cambio aparece en selector de placa (iniciar turno) y gastos (cerrar turno).,Commits 4df69a3 7b7587e
2026-06-04,BeeTracked,—,TOTAL día 4 junio,11.6,Completado,—,—,Ver filas detalladas 2026-06-04.,Cerrado
2026-06-05,BeeTracked,—,TOTAL día 5 junio,0.5,Completado,—,—,Usuarios nuevos + verificaciones.,Cerrado
2026-06-06,BeeTracked,—,TOTAL día 6 junio,2.05,Completado,—,—,0.5 operadores/apertura + 0.5 aperturaCaja + 0.1 tiempoTranscurrido + 0.1 placas + 0.25 ubicación + 0.1 Carreras hoy + 0.5 tema slate.,En curso
2026-06-08,BeeTracked,Investigación,Diagnóstico turno atascado José Diego (JoseDiego48),0.5,Completado,Alta,Media,"Biker reportó turno abierto desde sábado 6-jun (08:27) que 'volvía a abrirse' tras intentar cerrar. DynamoDB TURNO#122 activo bajo nombre 'José Diego' (slug jose-diego). Causas: cierre local sin confirmar servidor; posible mismatch nombre Cognito vs turno; sesión expirada en BeeZero.",Ops prod — ticket WhatsApp
2026-06-08,BeeTracked,Frontend + Backend,Verificación de sesión antes de capturar ubicación (abrir/cerrar turno),1.5,Completado,Alta,Media,"GET /api/auth/session/check; authApi.ts + useSessionGate + SessionExpiredPrompt. Integrado en IniciarTurnoBiker, CerrarTurnoBiker, IniciarTurno BeeZero y CerrarTurno BeeZero: valida sesión antes del GPS; si expiró muestra botón 'Iniciar sesión nuevamente'.",Sin deploy aún
2026-06-08,BeeTracked,Frontend,Fix cierre falso en Ecodelivery — no limpiar localStorage si el servidor falla,0.25,Completado,Alta,Baja,CerrarTurnoBiker.tsx: si cerrarTurno API falla → toast error y return; ya no borra turno_actual_biker ni muestra éxito local. Evita que el turno 'reaparezca' al recargar dashboard.,Commit pendiente
2026-06-08,BeeTracked,Backend,Fallback búsqueda turno activo por nombre parcial (primeras 2 palabras),0.25,Completado,Alta,Baja,"GET /api/ecodelivery/turnos/activo: prueba slug completo y slug de las primeras dos palabras del nombre. Resuelve mismatch 'Jose Diego Quisbert Parra' (Cognito) vs 'José Diego' (turno en DynamoDB).",Commit pendiente
2026-06-08,BeeTracked,Backend + AWS,Cierre manual turno TURNO#122 José Diego en prod,0.25,Completado,Alta,Baja,"Cierre vía API ecodelivery/turnos/cerrar en Google Sheets + corrección manual estado 'cerrado' en DynamoDB bee-tracked-turnos-prod (USER#jose-diego). Verificado getTurnoActivo → null.",Ops prod
2026-06-08,BeeTracked,QA / Operaciones,Verificación acceso biker José Zurita (JoseZurita93),0.1,Completado,Media,Baja,"Confirmado en Cognito prod: CONFIRMED, grupo ecodelivery, contraseña 69509827. Usuario activo desde 2026-06-01.",Consulta interna
2026-06-08,BeeTracked,Documentación / Operaciones,Actualización CSV usuarios con todos los accesos (sync Cognito),0.5,Completado,Media,Baja,"Usuarios - usuarios-y-contraseñas-ecodelivery.csv: 69 filas sincronizadas con Cognito (67 activos + 2 legacy inactivos). Agregados Leo525, DiegoZegarra34, JoseDiego48. Columna Estado; roles corregidos por grupo Cognito.",Archivo local
2026-06-08,BeeTracked,—,TOTAL día 8 junio,3.35,Completado,—,—,0.5 diagnóstico + 1.5 sesión/ubicación + 0.25 fix cierre local + 0.25 fallback nombre + 0.25 ops turno + 0.1 verificación Zurita + 0.5 CSV.,Cerrado
2026-06-09,BeeTracked,Operaciones,Cierre manual turno Noelia Belen Mercado Antezana (NoeliaMercado21),0.1,Completado,Alta,Baja,"Turno TURNO#6 activo desde 2026-06-08 10:14 (operador). Sesión expirada. Cerrado manualmente en DynamoDB vía AWS CLI. Verificado 0 turnos activos.",Ops prod
2026-06-09,BeeTracked,Investigación,Diagnóstico exhaustivo bugs cierre de turno — todos los roles,1.0,Completado,Alta,Alta,"Revisión completa de CerrarTurno.tsx (BeeZero) + CerrarTurnoBiker.tsx (Eco/Operador) + turnosApi.ts + ecodeliveryApi.ts + DynamoDBSessionStore.js + sessionManager.js + authApi.ts + useSessionGate + turnos.js + ecodelivery.js. Identificados 4 bugs sistémicos.",Commit 2598b05
2026-06-09,BeeTracked,Backend,Fix TTL sesión: 30 min → 8 h drivers / 12 h admins,0.25,Completado,Alta,Baja,"DynamoDBSessionStore.js: INACTIVITY_TIMEOUT_MS 30 min → 8h; ADMIN_INACTIVITY_TIMEOUT_MS 4h → 12h. Turnos duran hasta 10h; con 30 min la sesión expiraba durante el turno.",Commit 2598b05
2026-06-09,BeeTracked,Frontend,Fix session check optimista — errores de red no bloquean GPS,0.25,Completado,Alta,Baja,"authApi.ts checkSessionValid: catch retorna valid=true en vez de valid=false. Lambda cold-start >8s devolvía SESSION_CHECK_FAILED y bloqueaba a todos los usuarios aunque la sesión fuera válida.",Commit 2598b05
2026-06-09,BeeTracked,Frontend,Fix CerrarTurno BeeZero — relogin automático en 401 al cerrar,0.25,Completado,Alta,Media,"turnosApi.ts cerrar(): preserva statusCode=401 en el Error lanzado. CerrarTurno.tsx handleSubmit: detecta statusCode=401 → toast + relogin() con delay 2.5s. Paridad con CerrarTurnoBiker.",Commit 2598b05
2026-06-09,BeeTracked,Backend,Fix DynamoDB cerrar turno ecodelivery — UpdateCommand directo (reemplaza saveTurnoToDynamo),1.0,Completado,Alta,Alta,"ecodelivery.js POST /turnos/cerrar: reemplazado saveTurnoToDynamo (PutItem silencioso) por UpdateCommand directo apuntando a campos específicos (estado, horaCierre, fechaCierre, coords, foto, updatedAt). Import UpdateCommand agregado. Root cause: PutItem reconstruía el item incompleto y fallaba silencioso; UpdateCommand modifica solo los campos necesarios.",Commit 3eb59df
2026-06-09,BeeTracked,Backend,Logs detallados trace DynamoDB en cerrar turno ecodelivery,0.5,Completado,Alta,Baja,"Logs en cada paso del endpoint: body recibido, resultado getRowById, fallback por nombre, turnoIdValue, nombreUsuario, slugUserId result, PK/SK/TableName exactos, éxito o error del UpdateCommand. Permite diagnóstico en CloudWatch si el update sigue fallando.",Commit b5a5fc8
2026-06-09,BeeTracked,Operaciones,Consulta turnos activos DynamoDB — lista bikers para notificación,0.25,Completado,Media,Baja,"Scan bee-tracked-turnos-prod estado=activo: 21 turnos activos. Clasificados por rol: 8 ecodelivery, 4 bee zero, 1 operador, 9 sin clasificar. Cross-referenciados con CSV de teléfonos para mensajes.",Ops prod
2026-06-09,BeeTracked,Operaciones / Comunicación,HTML mensajes WhatsApp bikers — turnos activos,0.5,Completado,Media,Baja,"mensajes-turno-activo.html: 20 tarjetas con link wa.me pre-cargado por usuario. Mensaje personalizado con nombre; botón marca enviado al hacer click; contador de enviados. Teléfonos cruzados desde Biker-WhatsApp-unicos.csv y usuarios-bee-tracked.csv.",Archivo local Desktop
2026-06-09,BeeTracked,Comunicación,Redacción mensajes WhatsApp — grupo tecnología + bikers + features,0.5,Completado,Baja,Baja,"3 mensajes: (1) grupo bikers cierre de turnos; (2) grupo tecnología resumen arreglos del día; (3) propuesta features nuevos (encuestas, incidentes, ranking, asistencia, conexión BeeZero).",Mensajes internos
2026-06-09,BeeTracked,Producto,Brainstorming features próxima etapa BeeTracked,0.25,Completado,Media,Baja,"Relevados 9 features priorizados: encuestas check-in turno, reporte incidentes, historial GPS, ranking/métricas, control asistencia, liquidación automática, anuncios con acuse, registro entregas, estado moto. Redactado mensaje para equipo tecnología.",Planificación
2026-06-09,BeeTracked,—,TOTAL día 9 junio,4.85,Completado,—,—,1.85 previos + 1.0 fix DynamoDB + 0.5 logs + 0.25 ops turnos + 0.5 HTML WhatsApp + 0.5 mensajes + 0.25 brainstorming.,Cerrado
2026-06-12,BeeTracked,Análisis / Operaciones,Reporte de uso BeeTracked — consulta Google Sheets 3 tabs desde 2026-06-05,0.75,Completado,Media,Baja,"Consulta via service account a tabs BeeZero/Ecodelivery/operadores. Cruce con CSV de usuarios. Resultado: 34 activos (91 turnos) vs 26 que no usaron. Clasificados por rol y nivel de uso (4+/2-3/1 turno).",Ops analytics
2026-06-12,BeeTracked,Operaciones,Creación Google Sheet reporte de uso (5 pestañas con datos y formato),1.25,Completado,Media,Media,"Sheet 'BeeTracked — Reporte de Uso Jun 2026': pestañas Resumen / Bee Zero / Ecodelivery / Operadores / No usaron la app. Datos + formato condicional por nivel de uso (verde/amarillo/celeste/rojo). Compartido con carli.f.roman@gmail.com.",Sheet ID: 1ltaHEhz24KrOMN1s3ZsASmnbyQZJ2GDnlCJslVvtzEM
2026-06-12,BeeTracked,Comunicación,Redacción mensajes WhatsApp — pruebas extendidas + Hillu + pausa lunes-miércoles,0.5,Completado,Baja,Baja,"4 mensajes: (1) pruebas extendidas hasta sábado con link BeeTracked; (2) recordatorio foto al iniciar turno para Entregas Hillu; (3) aviso pausa app lunes 15 al miércoles 17 jun; (4) mejora mensaje tecnología con features propuestos.",Mensajes grupos WhatsApp
2026-06-12,BeeTracked,—,TOTAL día 12 junio,2.5,Completado,—,—,0.75 reporte análisis + 1.25 Google Sheet + 0.5 mensajes.,Cerrado
2026-06-22,BeeTracked,Frontend,Forzar captura con cámara en inicio y cierre de turno (todos los roles),0.5,Completado,Alta,Baja,"capture=""environment"" en todos los inputs de foto de turno: IniciarTurnoBiker, CerrarTurnoBiker (ecodelivery/operador) y foto de gasto en CerrarTurno BeeZero. Cambio de ícono galería → cámara y texto 'Subir foto' → 'Tomar foto'. Móviles abren cámara directamente sin opción de galería.",Commits 944dcab
2026-06-22,BeeTracked,Frontend,Mejora visual sección foto — centrado + estilo + renombrar a Hillu,0.25,Completado,Media,Baja,"IniciarTurnoBiker y CerrarTurnoBiker: bloque de foto centrado (text-center), texto más grande y en negrita, botón con borde verde activo y hover relleno, preview más grande (h-28 w-28), ícono de cámara más grande. Etiqueta 'Foto (opcional)' → 'Foto (Hillu)'.",Commit e12cf5b
2026-06-22,BeeTracked,Frontend,Eliminar texto descriptivo redundante en iniciar turno ecodelivery,0.1,Completado,Baja,Baja,"Eliminado párrafo 'Se registrará automáticamente tu ubicación, hora de inicio y nombre' de IniciarTurnoBiker.tsx.",Commit 8874a42
2026-06-22,BeeTracked,Frontend + Backend,Cierre masivo de turnos activos en DynamoDB (11 turnos),0.25,Completado,Alta,Baja,"Script close-all-active-turnos.js: scan bee-tracked-turnos-prod estado=activo → UpdateCommand estado=cerrado en 11 turnos (Sergio Lazarte, Juan Carlos, Diego Lazarte, William Montaño, Abel Quispe, Noelia Mercado, Josué Sánchez, Robert, Cristian Herbas, Marcos, Rusbel Solís).",Script local prod
2026-06-22,BeeTracked,Frontend,Reset tutorial v4 → v5 + nuevo onboarding ecodelivery/operador sin km,0.5,Completado,Alta,Baja,"storage.ts: tutorial_done_v4 → v5 para resetear todos. TutorialModal: pasos eco/op reemplazados — solo inicio/cierre de turno, foto Hillu, sin km; último paso con mock visual header + flecha animada apuntando a botón Salir. Igual para BeeZero (sin 'Registrar carrera'). Layout: etiqueta '↑ al salir' + ring pulsante en botón Salir para eco/op.",Commits d5d96e3
2026-06-22,BeeTracked,Frontend,Pantalla de éxito al iniciar turno con avisos de cerrar app y reiniciar sesión,0.25,Completado,Media,Baja,"IniciarTurnoBiker: tras iniciar turno exitoso muestra pantalla de confirmación con 🐝 + '¡Turno iniciado correctamente!' + caja amarilla con avisos: no olvidar Salir de la app y volver a iniciar sesión para cerrar turno. Navega al panel solo al tocar 'Ir al panel'.",Commit eef03e8
2026-06-22,BeeTracked,Operaciones,Creación y actualización de anuncio 'Cómo usar la app' en DynamoDB prod,0.25,Completado,Media,Baja,"Script create-announcement.js: anuncio con 5 pasos numerados (abrir turno / foto Hillu / cerrar app / reiniciar sesión / cerrar turno). Audiencia: all. Prioridad: importante. Borrado de lecturas para que todos lo vean.",DynamoDB prod directo
2026-06-22,BeeTracked,Frontend + Backend,Edición de anuncios — endpoint PUT + botón Editar + modo edición en formulario,1.0,Completado,Alta,Media,"Backend: GET/PUT /api/admin/anuncios/:id + updateAnnouncement() en announcementsService.js con validación isUpdate (sin validar fecha pasada al editar). Frontend: botón Editar en AnunciosAdmin.tsx → /admin/anuncios/editar?id=...; CrearAnuncio.tsx carga datos si ?id en URL y hace PUT al guardar; updateAnnouncement() en adminApi.ts; ruta en App.tsx.",Commit 553c408
2026-06-22,BeeTracked,Backend,Tracking server-side de primer inicio de app — tabla onboarding DynamoDB,1.0,Completado,Alta,Media,"Nueva tabla bee-tracked-onboarding-prod (PK=USER#userId). onboardingService.js: getOnboardingStatus, completeOnboarding, listOnboardingWithUsers, resetOnboarding, resetAllOnboarding. onboarding.js rutas: GET/POST /api/onboarding (user) + GET/DELETE /api/admin/onboarding (admin). Registrado en server.js y lambda.js. Tabla en serverless.deploy.yml + config/index.js.",Commit 553c408
2026-06-22,BeeTracked,Frontend,Login consulta estado onboarding en servidor; registra al completar tutorial,0.5,Completado,Alta,Media,"Login.tsx: maybeShowTutorial pasa a async — consulta GET /api/onboarding/status como fuente primaria (localStorage como fallback si falla). Al completar tutorial llama POST /api/onboarding/complete + storage.setTutorialCompleted. onboardingApi.ts: getStatus() y complete().",Commit 553c408
2026-06-22,BeeTracked,Frontend,Vista admin 'Primer inicio de app' con tabla de usuarios y reset,0.75,Completado,Alta,Media,"OnboardingAdmin.tsx: tabla con Nombre/Usuario/Rol/Tutorial/Fecha/Acción; filtros por rol y estado (vio/no vio); botón Reset individual (DELETE /api/admin/onboarding/:userId) y Reset todos (por rol); cards resumen completados/pendientes/total. Card en DashboardAdmin. Ruta /admin/onboarding en App.tsx.",Commit 553c408
2026-06-22,BeeTracked,—,TOTAL día 22 junio,5.35,Completado,—,—,0.85 foto/cámara/UI + 0.25 cierre turnos + 0.5 tutorial reset + 0.25 pantalla éxito + 0.25 anuncio + 1.0 edición anuncios + 1.0 onboarding backend + 0.5 login onboarding + 0.75 vista admin onboarding.,Cerrado
2026-06-23,BeeTracked,Frontend,Botón 'Obtener información' primero + animación pulsante hasta capturar GPS (iniciar y cerrar turno BeeZero),0.5,Completado,Alta,Baja,"IniciarTurno.tsx y CerrarTurno.tsx: sección Ubicación movida al primer lugar del formulario. Botón agrega animate-pulse + ring pulsante mientras !location; al obtener GPS desaparece la animación y muestra checkmark.",Commit bf0db0e
2026-06-23,BeeTracked,Frontend,Campos obligatorios al iniciar turno BeeZero (km + batería + foto tablero),0.5,Completado,Alta,Media,"IniciarTurno.tsx: validación en handleSubmit para kilometraje, batería inicio y foto del tablero. Labels actualizados a (*). Antes solo se validaban abejita / auto / aperturaCaja.",Commit bf0db0e
2026-06-23,BeeTracked,Frontend,"¿Daño al auto? opcional con default No (iniciar y cerrar turno BeeZero)",0.25,Completado,Media,Baja,"IniciarTurno.tsx y CerrarTurno.tsx: estado deseaRegistrarDano cambia de null → false; elimina validación que bloqueaba submit si era null. Campo rebautizado como opcional (sin asterisco).",Commit bf0db0e
2026-06-23,BeeTracked,Frontend,Toast de éxito con subtítulo recordatorio al iniciar turno BeeZero,0.25,Completado,Media,Baja,"ToastContext.tsx: soporte opcional subtitle en ToastState / show() / ToastModal. IniciarTurno.tsx: éxito muestra 'No olvides cerrar la aplicación…' como subtítulo + navegación vía onClose. También agrega manejo 401 → relogin.",Commit bf0db0e
2026-06-23,BeeTracked,Frontend,Campo 'Pagos en QR (Bs)' en cierre de turno BeeZero + nueva columna en diferencia,1.0,Completado,Alta,Media,"CerrarTurno.tsx: nuevo campo pagosQR junto a Cierre de Caja. calcularDiferencia() actualizado: cierre + QR − apertura − gastos. Resumen en tiempo real muestra línea '+ Bs X (QR)'. Enviado al backend en el payload.",Commit bf0db0e
2026-06-23,BeeTracked,Frontend,Pantalla resumen al cerrar turno BeeZero con descarga PNG,1.5,Completado,Alta,Alta,"ResumenTurnoCerrado.tsx (nuevo): muestra todos los datos del turno cerrado (abejita, auto, horas, caja, QR, gastos, diferencia, km, batería, daños, observaciones). Botón 'Descargar resumen' usa html2canvas para capturar el div y guardar PNG (en móvil guarda en galería). Botón 'Aceptar' navega al dashboard. Banner inferior: 'No olvides cerrar la aplicación…'.",Commit bf0db0e
2026-06-23,BeeTracked,Backend,Nueva columna Pagos QR (Bs) en Google Sheet BeeZero + DynamoDB + fórmula diferencia,0.75,Completado,Alta,Media,"turnos.js: extrae pagosQR del body; diferencia = cierre + QR − apertura − gastos; nueva columna N en rowValues (iniciar y cerrar). turnosService.js: BEEZERO_HEADERS + buildTurnoItem + beezeroToAdminRow incluyen 'Pagos QR (Bs)'. turnosApi.ts: pagosQR en payload cerrar(). scripts/update-beezero-headers.js actualizado. Admin TurnosBeezero añade columna.",Commit bf0db0e
2026-06-23,BeeTracked,Investigación,Diagnóstico turno activo BeeZero no visible en dashboard driver (admin sí),0.75,Completado,Alta,Alta,"Turno INICIADO visible en admin y Google Sheet pero getTurnoActivo() devolvía null. Instrumentación en turnosApi.ts (driverName, candidatos, first row keys: 30 cols). Causa: getAllRows leía A:AD y columna Estado quedó en AE tras Pagos QR. Revisión sistema híbrido DynamoDB + Sheets; corrección manual fila en sheet.",Commit debug 5f2317f
2026-06-23,BeeTracked,Backend,Fix rango Google Sheets A:AD → A:AE (Estado columna 31),0.25,Completado,Alta,Baja,"googleSheets.js: getAllRows, appendRow y updateRowById extendidos a A:AE. t.Estado deja de ser undefined; filtro Abejita + INICIADO funciona en dashboard BeeZero. Eliminados console.log debug en turnosApi.ts.",Commit d425eeb
2026-06-23,BeeTracked,Frontend,Botón Obtener información en rojo pulsante (verde al obtener GPS),0.1,Completado,Media,Baja,"IniciarTurno.tsx y CerrarTurno.tsx: bg-red-600 + ring-red-400 + animate-pulse antes de capturar GPS; bg-green-500 tras éxito.",Commit b458097
